tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,favorite_count,retweet_count,topic_id,spam
11474,1,2,12,17,1,117,0,79,92,8,n
12426,0,0,7,15,2,94,0,1,1,2,n
12286,1,0,13,12,2,122,0,1,5,4,n
13337,0,0,11,17,1,98,1,2,0,7,y
12934,0,0,17,16,2,135,0,6,37,2,n
10986,1,2,7,13,0,112,0,37,61,4,n
12219,1,0,12,16,2,117,0,0,2,0,n
12424,0,0,5,14,2,120,0,13,13,6,n
11801,1,0,8,11,1,79,0,150,53,5,n
11525,0,6,12,14,1,141,0,76,96,1,n
13042,1,0,17,10,1,134,1,21,33,4,n
12603,2,0,15,14,2,113,0,0,3,0,n
13897,0,0,5,9,1,78,0,2,1,2,y
12988,1,0,12,17,1,100,2,2,0,1,y
11922,0,0,15,12,2,114,1,85,45,8,y
13878,0,0,13,7,1,107,0,2,2,4,n
13068,0,0,5,11,1,87,4,4,2,4,y
11177,0,0,14,10,1,136,0,63,39,7,n
11733,0,0,12,16,2,105,0,49,42,7,n
11088,1,2,8,14,0,133,0,341,680,4,n
13766,0,0,6,7,1,69,0,1,8,2,n
12758,1,0,15,15,2,127,4,0,3,4,n
13252,0,0,9,12,1,119,2,0,0,8,n
12523,1,0,15,18,2,100,0,1,0,7,n
11232,1,0,14,20,2,133,0,68,113,1,n
11277,1,0,12,4,0,104,0,96,46,3,n
12879,1,0,9,19,2,131,1,1,1,7,n
12210,1,0,9,18,1,123,0,0,2,8,n
12555,2,0,12,18,2,125,0,0,3,5,n
13237,0,0,5,16,1,136,2,0,1,8,y
12507,2,0,6,12,2,132,0,5,9,5,n
11396,0,0,11,16,2,124,0,179,123,1,n
11354,0,2,11,17,1,142,0,37,53,7,n
13126,0,0,5,16,1,134,1,6,3,4,y
13856,0,0,6,17,1,112,0,4,5,0,n
13069,0,0,4,5,1,83,2,6,6,4,n
13358,0,0,7,8,1,85,1,2,2,4,n
13289,0,0,8,15,1,105,1,3,0,7,y
13941,0,0,8,7,1,90,1,0,2,7,y
12483,1,0,16,15,2,123,1,0,4,1,n
11248,1,0,18,20,2,127,0,96,319,6,n
13860,0,0,8,6,1,78,2,4,6,1,n
12118,0,0,11,12,2,119,0,2,3,5,n
11482,0,0,5,5,1,81,0,39,52,7,n
11758,0,0,7,14,1,124,0,65,42,5,n
11973,0,0,8,14,2,115,0,1,1,7,n
12992,1,0,8,6,1,99,0,1,3,7,n
11818,0,0,6,12,1,77,0,76,28,7,y
11541,1,1,17,17,2,106,1,42,36,7,n
12482,0,0,13,16,2,118,0,0,2,1,n
11566,2,2,18,23,2,144,0,0,593,7,n
12876,0,0,14,13,2,115,1,2,0,4,y
12430,1,0,12,20,2,143,0,6,6,5,n
11853,2,0,10,14,1,97,0,91,36,1,n
12488,1,0,11,12,2,129,0,2,12,2,n
11712,0,0,14,13,1,132,0,128,178,1,n
13151,0,0,9,12,1,118,1,5,7,1,n
13673,0,0,7,12,1,81,0,2,1,7,y
13603,0,0,4,5,1,81,0,2,1,0,n
11321,0,0,13,12,2,90,0,55,45,1,n
11553,2,0,18,19,2,136,1,323,597,2,y
12778,1,0,11,13,2,121,2,0,0,4,n
12518,1,0,9,13,2,135,0,0,11,7,n
13663,0,0,14,23,1,140,0,1,3,2,y
13571,0,0,12,15,2,96,1,20,54,8,n
11996,2,0,8,12,2,132,0,2,4,1,n
12929,1,0,14,12,2,122,0,1,6,7,n
11466,1,0,14,14,2,139,0,442,462,4,n
12526,1,0,7,13,2,105,0,0,1,7,n
11267,0,1,14,13,2,117,0,57,40,1,n
12146,1,0,18,17,2,124,1,3,4,8,n
12471,2,0,9,9,1,111,0,0,6,1,n
13717,0,0,10,20,2,125,2,2,3,4,n
13180,0,0,7,7,1,77,0,2,3,4,y
13848,0,0,7,9,1,116,0,7,8,7,n
10997,0,0,11,18,2,126,2,47,30,7,n
13127,0,0,7,13,1,117,0,3,7,1,y
12664,1,0,11,11,2,105,0,1,1,7,y
11512,0,0,7,7,1,111,0,35,38,4,n
12353,1,0,15,17,2,115,0,0,0,7,n
11452,1,0,13,20,2,136,0,186,293,2,n
11580,0,0,13,10,2,111,0,87,111,2,n
11711,0,0,9,6,1,111,1,75,96,7,n
13661,0,0,7,5,1,97,0,0,1,4,n
13488,0,0,10,10,1,72,0,1,1,1,n
12159,0,0,12,20,2,127,1,1,10,7,n
11869,0,0,9,11,1,133,0,551,283,7,n
12364,1,0,7,15,2,106,0,1,0,1,n
11579,0,0,9,7,1,73,0,2083,5318,3,n
13627,0,0,9,12,1,114,0,0,5,4,n
12553,1,0,12,13,2,132,0,14,49,2,n
11986,1,0,14,19,2,114,0,0,3,0,n
11495,0,0,14,12,2,110,0,33,38,4,n
12434,1,0,10,13,2,118,0,2,1,8,n
11868,0,0,12,15,2,126,0,90,126,7,n
13556,0,0,8,5,1,122,0,2,4,2,n
11476,1,2,7,15,0,121,0,147,200,4,n
11217,0,0,11,17,1,140,0,117,0,3,y
11355,1,1,7,22,2,134,0,238,248,9,n
11884,0,0,7,10,1,93,0,63,75,7,n
13644,0,0,6,13,1,101,0,2,1,7,n
13694,0,0,8,11,1,79,1,1,0,4,n
12661,0,0,8,14,2,131,0,7,13,4,n
13553,0,0,12,22,2,121,0,4,3,4,y
13345,0,0,5,16,1,134,1,1,2,7,y
12827,2,0,11,16,2,126,1,0,3,1,n
12606,2,0,14,14,2,113,0,1,3,6,n
12305,0,0,11,13,2,127,0,0,3,4,n
10993,0,0,5,7,1,71,0,35,29,4,n
11362,0,0,9,9,1,88,0,98,91,5,n
12990,1,0,14,8,1,112,2,6,8,4,n
11386,0,0,15,18,2,141,0,85,48,2,n
12301,1,0,12,15,2,135,0,0,15,2,n
13854,0,0,7,9,1,78,0,1,2,3,y
12226,0,0,9,12,2,94,0,2,1,0,n
12304,0,0,8,14,2,115,0,1,0,2,n
13280,0,0,5,11,1,86,3,0,0,7,y
13099,0,0,10,7,1,99,1,5,6,1,n
10963,1,0,11,16,1,102,0,150,247,1,n
11363,0,0,2,9,1,82,0,171,139,4,n
13544,0,0,13,18,2,99,0,2,3,5,n
13875,0,0,9,15,1,107,1,1,3,0,n
12737,2,0,11,14,2,121,3,2,13,1,n
13500,0,0,8,10,1,121,0,1,2,0,n
12774,2,0,8,15,1,120,0,1,1,8,n
12142,1,0,10,16,2,112,0,0,0,5,y
13017,1,0,10,9,1,121,0,9,17,2,n
12238,0,0,9,21,2,131,0,2,8,0,y
12111,0,0,11,15,2,111,0,3,2,5,n
11939,0,0,10,8,1,117,0,48,49,4,n
12278,0,0,6,16,2,129,0,2,5,4,n
12440,0,0,10,15,2,109,0,1,1,7,n
12928,0,2,12,14,2,127,1,9,5,9,n
11228,0,0,8,5,1,78,0,624,532,1,n
12802,2,0,15,18,2,118,2,2,8,1,n
11147,0,0,5,10,1,71,0,33,33,7,n
11030,1,1,6,10,0,111,0,0,88,0,n
12717,0,0,9,12,2,130,2,1,5,4,n
13937,0,0,7,8,1,132,0,2,6,1,n
13009,1,0,10,17,1,145,0,5,5,7,y
11815,1,0,5,15,1,122,0,119,235,0,n
13299,0,0,7,8,1,85,1,3,6,4,y
10971,0,0,7,8,1,102,0,48,31,7,y
13518,0,0,15,15,2,125,0,1,2,1,n
12480,1,0,15,13,2,105,0,1,1,3,n
11655,0,0,8,9,1,104,0,41,33,4,n
11463,1,1,13,15,2,136,0,74,63,9,y
11173,0,0,10,17,2,134,1,89,109,4,n
13490,0,0,11,6,1,120,0,3,0,7,n
10998,0,0,9,11,1,108,0,60,68,5,n
13809,0,0,9,16,2,91,0,7,39,2,n
13828,0,0,12,16,2,108,1,3,2,4,y
13141,0,0,27,16,1,135,2,3,1,1,y
12069,0,0,12,28,2,145,0,0,1,1,n
13876,0,0,7,26,1,129,0,2,1,4,y
12712,2,0,8,18,2,106,1,2,4,5,n
12328,0,0,13,25,2,145,3,0,6,3,n
13228,0,0,15,9,1,134,1,9,18,5,n
12044,0,0,9,12,2,107,0,0,0,4,n
11153,0,0,10,7,1,92,1,36,35,2,n
11790,1,0,9,14,2,96,0,141,108,7,n
13920,0,0,16,8,1,113,1,1,3,2,n
13648,0,0,20,5,1,115,1,2,11,1,n
13642,0,0,9,7,1,85,1,1,1,7,n
11995,0,0,7,14,2,131,0,2,6,0,n
12414,0,0,10,28,2,145,0,0,1,5,n
11526,0,0,8,9,1,91,0,31,41,1,n
13768,0,0,7,9,1,78,0,2,3,1,y
11443,0,1,6,9,1,88,0,39,31,6,n
13781,0,0,16,19,2,124,0,0,2,1,n
11172,1,0,7,16,2,126,0,61,87,8,n
13355,0,0,4,9,1,78,1,4,3,2,n
10970,1,0,11,16,1,102,0,182,372,7,n
12213,0,0,8,14,2,131,1,0,6,8,n
12593,2,0,17,24,2,131,0,0,8,9,n
12729,2,0,16,14,2,115,2,0,1,4,n
12126,1,0,15,13,2,114,0,1,5,5,n
13765,0,0,11,18,1,144,0,3,2,1,n
13019,1,0,8,8,1,84,0,9,14,0,n
11949,0,0,8,14,2,94,1,0,0,2,y
11824,0,0,16,10,2,109,0,136,76,4,n
11255,0,0,13,14,2,122,0,81,54,1,n
12959,0,0,14,15,2,97,2,9,22,1,n
11934,0,0,6,14,1,121,0,152,403,2,n
13871,0,0,8,5,1,86,0,2,2,1,n
10996,0,0,20,14,2,123,0,73,155,2,n
12912,2,0,14,13,2,124,1,1,5,0,n
12453,0,0,11,16,2,126,0,10,19,0,n
11176,0,0,12,16,2,119,0,64,68,0,n
11065,0,0,7,8,1,78,0,55,30,7,n
11339,0,1,12,16,1,83,0,109,198,1,n
11405,0,0,12,12,2,92,0,63,30,4,n
11412,0,1,12,12,1,127,1,39,69,1,n
11767,0,0,12,18,2,119,0,60,70,3,n
12021,2,0,9,14,2,113,0,0,0,6,n
13084,0,0,7,9,1,125,1,3,7,0,n
11244,0,0,6,11,1,95,0,103,155,4,n
13193,0,0,6,7,1,90,1,1,0,7,n
13145,0,0,5,9,1,121,1,3,11,8,n
11218,1,1,11,7,0,91,0,0,7109,5,y
12204,1,0,12,11,2,118,1,0,4,0,n
11240,1,1,17,15,2,132,0,97,72,4,n
12449,0,0,14,13,2,124,0,6,13,0,n
12906,0,0,9,16,2,119,0,0,3,7,n
12505,1,0,8,15,2,121,0,5,21,0,n
13433,0,0,12,7,1,98,0,1,8,2,n
11568,0,0,13,16,2,124,0,1655,2312,6,n
12680,1,0,15,18,2,100,0,1,1,1,n
11792,0,0,10,10,2,111,0,453,238,1,y
11880,0,0,11,8,1,87,0,179,121,8,n
11393,0,1,7,11,1,101,0,58,24,1,n
13316,0,0,8,11,1,92,1,0,0,2,n
11219,0,0,9,10,2,133,0,100,88,6,n
13173,0,0,5,16,1,134,1,1,1,2,y
13598,0,0,6,9,1,107,0,2,9,0,n
12517,0,0,10,16,2,128,0,12,7,6,y
12200,1,0,12,11,2,117,0,2,1,2,y
13916,0,0,5,12,1,100,0,6,10,9,n
12541,1,0,16,13,2,135,1,0,5,5,n
11648,0,0,8,5,1,99,0,35,63,1,n
11575,1,0,22,15,1,122,0,4572,8485,2,n
12393,1,0,14,15,2,109,0,1,1,1,y
12602,1,0,14,13,2,137,0,0,3,2,n
13461,0,0,9,6,1,71,2,2,7,2,y
11569,0,1,23,16,2,126,0,1444,2484,1,y
12826,1,0,10,13,2,134,1,0,3,5,n
12151,1,1,18,24,2,121,0,1,4,2,n
12478,2,0,11,16,2,118,0,1,3,5,n
11706,1,1,14,6,0,121,0,277,572,7,n
11742,0,0,10,12,1,106,0,151,30,0,y
12028,1,0,12,13,2,135,1,0,6,5,n
11948,2,0,8,15,2,127,0,121,127,1,n
12333,0,0,11,20,2,127,1,2,13,1,n
12534,1,0,13,14,2,118,0,1,16,5,n
11221,1,0,8,13,1,133,0,56,97,5,n
13184,0,0,8,10,1,91,0,0,4,1,y
13192,0,0,8,15,1,104,0,1,0,6,y
11503,0,0,10,12,1,60,0,138,199,7,y
12016,1,0,8,18,1,124,0,3,14,2,n
12582,1,0,13,11,2,121,0,1,3,8,n
12013,1,0,13,16,2,129,0,1,8,5,n
12994,1,0,12,10,1,118,0,3,13,4,n
12742,1,0,12,20,2,139,1,0,3,2,n
13074,0,0,8,17,1,121,0,6,13,1,n
12279,0,0,9,16,2,126,0,2,16,7,n
12977,1,0,7,11,1,85,2,1,5,1,n
