tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam,cluster
11123,0,0,10,15,2,132,0,n,cluster2
11415,0,0,12,17,2,118,0,n,cluster2
13905,0,0,7,8,1,74,0,n,cluster2
12734,1,0,9,21,2,120,0,n,cluster2
11161,0,0,12,19,2,109,0,y,cluster2
13125,0,0,8,13,1,113,2,n,cluster1
13445,0,0,6,13,1,113,0,n,cluster2
13852,0,0,5,6,1,98,2,n,cluster1
11614,0,0,3,10,1,95,0,n,cluster2
12649,1,0,12,20,2,119,0,y,cluster2
11154,1,0,4,10,1,104,1,n,cluster1
12561,0,0,11,18,2,120,0,y,cluster2
11845,1,0,8,13,1,137,0,n,cluster2
11106,0,0,14,15,2,129,0,n,cluster2
13171,0,0,11,18,1,127,1,y,cluster1
13521,0,0,4,6,1,91,0,n,cluster2
12256,2,0,16,24,2,131,0,n,cluster2
12011,0,0,10,11,2,120,0,n,cluster2
12295,0,0,7,18,2,117,1,y,cluster2
12116,1,0,15,12,2,122,0,n,cluster2
11599,0,0,12,12,2,137,0,y,cluster2
13007,1,0,9,10,1,136,0,n,cluster2
12038,0,0,7,14,2,131,1,n,cluster2
11794,1,0,10,13,2,94,0,y,cluster2
11492,0,0,21,9,1,117,0,n,cluster2
12036,1,1,19,24,2,114,0,y,cluster2
11309,0,0,4,7,1,100,0,n,cluster2
10989,0,1,9,13,1,68,0,n,cluster2
11128,0,0,11,12,2,135,0,n,cluster2
12784,1,0,10,15,2,125,2,n,cluster1
12732,1,0,13,17,2,122,2,n,cluster1
13459,0,0,6,8,1,64,0,n,cluster2
10950,0,0,7,9,1,54,1,n,cluster1
11635,0,0,7,10,1,79,0,y,cluster2
12342,1,0,7,8,1,96,0,y,cluster2
12825,1,0,14,15,2,117,1,n,cluster2
11080,1,0,17,23,2,135,0,n,cluster2
13290,0,0,9,9,1,107,1,n,cluster1
13507,0,0,11,8,1,102,0,n,cluster2
12578,1,0,10,22,2,127,0,y,cluster2
13137,0,0,5,8,1,93,1,n,cluster1
13066,0,0,7,8,1,86,2,y,cluster1
11890,0,0,10,7,1,91,2,n,cluster1
13182,0,0,5,6,1,76,1,n,cluster1
11817,0,0,16,22,2,133,0,n,cluster2
12033,2,0,17,17,2,109,0,y,cluster2
13001,1,0,6,12,1,110,0,n,cluster2
11331,0,0,9,13,2,108,0,n,cluster2
13935,0,0,6,10,1,71,0,n,cluster2
11152,0,0,7,12,1,102,0,n,cluster2
12967,1,0,11,18,1,136,2,n,cluster1
11005,0,0,12,10,2,120,0,n,cluster2
11656,0,0,10,9,1,114,0,n,cluster2
11550,1,2,10,12,0,123,1,n,cluster1
11511,0,0,10,15,2,116,0,n,cluster2
12586,0,0,11,14,2,120,0,n,cluster2
11117,0,0,6,7,1,63,0,n,cluster2
13283,0,0,5,11,1,86,3,y,cluster1
13055,0,0,6,13,1,115,2,n,cluster1
12801,0,0,19,13,2,125,1,n,cluster2
11660,0,0,11,10,2,131,0,n,cluster2
12792,1,0,11,13,2,133,1,n,cluster2
11298,0,0,4,16,1,131,2,y,cluster1
11279,1,0,8,5,0,87,0,n,cluster1
12925,0,0,13,16,2,129,0,n,cluster2
12355,1,0,11,13,2,94,0,n,cluster2
12124,0,0,15,16,2,135,0,n,cluster2
13720,0,0,11,11,1,129,0,n,cluster2
11389,0,0,10,18,2,141,1,n,cluster2
12463,0,0,12,16,2,115,0,n,cluster2
12490,1,0,15,16,2,128,0,n,cluster2
11570,1,0,17,10,1,108,0,n,cluster2
12094,1,1,19,27,2,120,0,y,cluster2
13819,0,0,10,18,2,121,0,n,cluster2
12854,0,0,7,20,2,130,1,n,cluster2
12370,1,0,5,19,2,130,0,n,cluster2
12058,1,0,17,15,2,120,0,n,cluster2
12243,0,0,13,13,2,115,1,y,cluster2
13114,0,0,14,9,1,113,2,n,cluster1
11268,0,0,11,14,2,137,1,n,cluster2
12270,1,0,7,16,2,132,0,y,cluster2
11505,0,0,18,7,1,110,0,n,cluster2
12251,0,0,9,12,2,106,0,n,cluster2
12805,1,0,15,14,2,115,0,n,cluster2
11704,1,1,13,8,0,137,0,n,cluster1
12548,1,0,11,11,2,79,0,y,cluster2
11430,1,0,9,9,1,104,1,n,cluster1
11983,1,0,13,20,2,119,0,y,cluster2
11766,0,0,12,13,2,99,0,n,cluster2
11593,0,0,4,11,1,104,1,n,cluster1
12508,0,1,13,13,2,84,0,n,cluster2
13002,1,0,20,15,1,130,0,n,cluster2
13065,0,0,7,13,1,120,3,n,cluster1
10958,0,1,12,10,1,98,0,n,cluster2
12890,1,0,10,14,1,122,0,n,cluster2
13764,0,0,13,12,2,112,0,n,cluster2
13216,0,0,6,9,1,117,0,n,cluster2
11133,0,0,4,15,1,103,1,y,cluster1
13680,0,0,7,8,1,84,0,n,cluster2
13495,0,0,4,10,1,95,1,n,cluster1
13515,0,0,14,14,2,124,0,n,cluster2
11186,0,0,9,17,2,138,0,n,cluster2
12170,1,0,14,15,2,116,0,n,cluster2
13098,0,0,6,8,1,110,1,n,cluster1
12325,0,0,14,16,2,98,0,y,cluster2
13892,0,1,8,6,1,86,0,n,cluster2
12313,2,0,9,14,2,133,0,n,cluster2
12269,1,0,19,21,2,140,0,n,cluster2
11222,1,1,5,11,1,140,0,n,cluster2
11481,0,0,16,18,2,96,0,n,cluster2
12090,2,0,13,24,2,131,0,n,cluster2
12420,0,0,14,23,2,129,0,n,cluster2
11260,1,0,8,11,1,132,0,n,cluster2
12161,1,0,8,15,2,121,0,n,cluster2
13291,0,0,11,16,1,87,1,y,cluster1
11695,0,0,12,10,1,107,0,n,cluster2
12341,0,0,15,16,2,135,0,n,cluster2
12672,1,0,11,17,2,124,0,n,cluster2
13943,0,0,11,6,1,85,0,n,cluster2
13172,0,0,7,13,1,119,2,n,cluster1
13152,0,0,6,11,1,90,1,n,cluster1
12458,0,0,12,17,2,133,0,y,cluster2
12117,0,0,14,16,2,138,0,n,cluster2
11935,0,0,4,7,1,72,0,n,cluster2
13412,0,0,8,9,1,113,0,n,cluster2
13361,0,0,6,7,1,91,2,y,cluster1
13708,0,0,11,14,2,108,0,n,cluster2
13379,0,0,17,14,1,119,1,n,cluster1
12798,0,0,12,16,2,127,1,n,cluster2
12695,0,0,11,14,2,100,0,n,cluster2
11144,1,0,8,13,2,85,0,n,cluster2
13072,0,0,12,7,1,86,0,y,cluster2
11341,0,0,4,8,1,104,0,n,cluster2
12696,1,0,11,16,2,124,0,n,cluster2
12468,1,0,15,13,2,114,0,n,cluster2
13148,0,0,9,9,1,107,1,n,cluster1
12741,1,0,10,13,2,122,0,n,cluster2
11090,1,2,6,9,0,103,0,n,cluster1
11125,0,0,6,10,1,104,0,n,cluster2
11997,0,0,10,12,2,126,1,y,cluster2
12777,0,0,16,18,2,116,2,y,cluster1
13688,0,0,8,9,1,126,0,n,cluster2
13616,0,0,6,14,1,94,0,n,cluster2
11449,1,2,6,9,0,95,3,n,cluster1
13223,0,0,5,16,1,133,0,y,cluster2
13260,0,0,5,9,1,122,2,n,cluster1
11360,0,0,10,12,2,139,0,n,cluster2
13040,1,0,11,14,1,125,2,n,cluster1
12892,1,0,9,18,1,123,0,y,cluster2
11518,0,0,15,12,2,126,0,n,cluster2
13606,0,0,10,14,1,105,0,n,cluster2
13566,0,0,7,9,1,94,0,n,cluster2
12968,1,0,9,9,1,99,2,y,cluster1
11236,1,0,14,17,2,121,1,n,cluster2
12412,1,0,12,14,2,115,0,n,cluster2
11379,0,1,8,14,1,116,1,n,cluster1
12952,0,0,7,19,1,137,1,y,cluster1
11762,0,0,4,7,1,75,0,n,cluster2
11077,1,0,13,17,1,105,2,n,cluster1
12917,1,0,11,16,2,132,0,n,cluster2
13646,0,0,8,14,1,92,0,y,cluster2
11574,1,0,10,10,1,114,0,n,cluster2
11513,0,0,10,10,2,117,0,n,cluster2
13641,0,0,10,5,1,98,0,n,cluster2
13668,0,0,9,13,2,135,0,n,cluster2
13406,0,0,5,5,1,63,0,n,cluster2
12334,2,0,9,12,2,132,0,n,cluster2
10967,0,2,13,18,1,145,0,n,cluster1
11877,0,0,9,15,1,122,0,n,cluster2
11129,0,0,7,14,1,103,0,n,cluster2
13060,0,0,6,5,1,96,2,n,cluster1
11334,0,0,19,14,2,100,1,n,cluster2
13105,1,0,8,10,1,59,0,n,cluster2
13911,0,0,6,5,1,94,0,n,cluster2
12837,0,0,8,12,2,131,1,n,cluster2
12775,1,0,16,13,2,136,1,n,cluster2
13895,0,0,6,11,1,89,0,n,cluster2
12461,0,0,14,16,2,138,0,n,cluster2
13426,0,0,8,20,1,139,0,y,cluster2
11044,0,0,7,13,2,132,1,n,cluster2
12543,1,0,14,17,2,142,0,n,cluster2
12419,1,0,9,22,2,127,0,y,cluster2
13780,1,0,7,10,1,67,0,n,cluster2
11136,0,0,8,6,1,94,0,n,cluster2
13164,0,0,5,9,1,84,1,n,cluster1
12872,1,0,9,17,2,132,1,n,cluster2
12413,0,0,14,18,2,113,0,y,cluster2
12743,1,0,12,13,2,113,2,n,cluster1
11912,0,0,9,13,1,102,0,n,cluster2
12885,1,0,7,8,1,109,0,n,cluster2
13436,0,0,11,11,1,103,0,n,cluster2
13559,0,0,8,8,1,85,0,n,cluster2
10978,0,0,4,5,1,100,0,n,cluster2
12749,1,0,9,15,2,124,2,n,cluster1
12950,0,0,24,11,2,119,2,n,cluster1
12535,1,0,13,11,2,106,0,n,cluster2
11748,0,0,12,10,2,87,0,y,cluster2
11485,0,0,7,8,1,101,0,n,cluster2
13162,0,0,8,9,1,115,2,n,cluster1
11390,0,0,7,8,1,77,0,n,cluster2
13296,0,0,4,10,1,83,1,y,cluster1
12645,1,0,14,15,2,123,1,n,cluster2
13272,0,0,8,20,1,140,1,y,cluster1
13373,0,0,8,8,1,89,1,n,cluster1
13322,0,0,4,13,1,76,1,n,cluster1
11062,0,0,9,8,1,96,0,n,cluster2
12975,1,0,13,22,1,144,2,y,cluster1
11475,1,2,6,11,0,131,0,n,cluster1
11519,0,1,10,15,1,140,0,n,cluster2
12999,1,0,9,6,1,106,0,n,cluster2
11975,0,0,13,13,2,127,0,n,cluster2
13471,0,0,7,6,1,70,0,n,cluster2
13719,0,0,23,11,2,117,1,y,cluster2
11741,0,0,8,7,1,65,0,y,cluster2
12023,1,0,13,17,2,119,1,y,cluster2
12538,0,0,14,12,2,110,0,n,cluster2
12807,0,0,8,13,2,96,1,y,cluster2
10979,0,0,4,11,1,88,1,n,cluster1
11143,0,0,6,5,1,69,0,n,cluster2
12327,1,0,9,16,2,127,0,n,cluster2
13923,0,0,11,5,1,106,0,n,cluster2
12635,0,0,9,14,2,115,0,n,cluster2
13233,0,0,7,7,1,72,0,n,cluster2
11918,0,0,7,7,1,80,0,n,cluster2
12530,1,0,13,22,2,130,0,y,cluster2
11392,0,0,9,12,2,131,0,n,cluster2
13624,0,0,7,9,1,86,0,n,cluster2
11195,0,0,14,20,1,143,0,y,cluster2
13073,0,0,7,19,1,107,1,y,cluster1
13462,0,0,7,6,1,72,0,n,cluster2
11667,0,0,20,22,2,122,0,n,cluster2
11435,0,1,9,12,1,135,0,n,cluster2
11427,1,2,12,19,1,134,0,n,cluster1
13399,0,0,8,11,1,95,1,n,cluster1
13077,0,0,5,5,1,65,2,n,cluster1
11589,0,0,11,13,1,127,0,n,cluster2
13427,0,0,19,6,1,93,1,y,cluster1
11945,0,0,14,12,2,96,0,n,cluster2
11397,0,0,3,7,1,91,0,n,cluster2
12819,1,0,12,17,2,129,1,n,cluster2
11839,0,0,12,8,1,101,0,n,cluster2
13201,0,0,8,7,1,97,0,n,cluster2
11011,0,0,10,10,2,98,0,y,cluster2
11764,0,0,8,10,2,94,0,n,cluster2
12727,1,0,11,13,2,120,1,n,cluster2
12780,1,0,12,16,2,129,2,n,cluster1
11134,1,0,9,13,2,93,0,n,cluster2
13357,0,0,5,9,1,75,1,n,cluster1
12740,2,0,12,18,2,125,0,n,cluster2
12655,1,0,13,16,2,127,0,n,cluster2
12704,1,0,14,11,2,118,1,n,cluster2
12502,0,0,11,20,2,127,1,n,cluster2
11567,1,2,5,11,0,116,1,n,cluster1
13477,0,0,10,13,1,124,0,n,cluster2
11204,1,2,16,5,0,137,0,n,cluster1
12365,1,0,8,18,1,124,0,n,cluster2
11814,1,0,14,15,2,118,0,n,cluster2
12408,0,0,11,10,2,106,0,y,cluster2
10955,0,0,5,15,2,111,0,n,cluster2
12974,1,0,20,15,1,132,2,n,cluster1
13682,0,0,5,5,1,87,0,y,cluster2
13552,0,0,10,9,1,70,0,n,cluster2
11597,0,0,12,12,2,114,0,n,cluster2
11690,0,0,5,5,1,92,0,y,cluster2
11879,0,0,8,9,1,96,0,y,cluster2
13266,0,0,5,13,1,81,1,y,cluster1
13839,0,0,4,9,1,113,1,n,cluster1
12520,1,0,14,14,2,128,0,n,cluster2
12647,0,0,15,10,2,114,0,n,cluster2
12222,0,0,10,12,2,110,0,n,cluster2
11165,0,0,11,13,2,111,0,n,cluster2
12667,0,0,8,13,2,125,0,n,cluster2
11049,0,0,8,13,1,79,1,n,cluster1
11426,0,0,5,10,1,84,0,n,cluster2
12815,1,0,15,12,2,123,1,n,cluster2
11753,0,0,18,14,2,138,0,n,cluster2
11672,0,0,9,12,2,106,1,n,cluster2
13156,0,0,5,8,1,122,0,n,cluster2
12185,2,0,10,15,1,120,0,n,cluster2
12646,1,0,12,12,2,129,0,n,cluster2
10991,0,0,12,14,2,111,1,n,cluster2
12630,0,0,9,13,2,121,1,y,cluster2
11903,0,0,8,5,1,76,0,n,cluster2
11079,0,0,11,12,1,81,0,n,cluster2
13254,0,0,5,11,1,86,3,y,cluster1
12479,0,0,13,16,2,135,0,n,cluster2
10980,0,1,12,10,1,104,0,n,cluster2
13401,0,0,7,19,1,107,1,y,cluster1
11809,1,1,11,19,2,134,1,y,cluster2
11317,0,0,7,7,1,115,0,n,cluster2
13311,0,0,8,17,1,113,1,y,cluster1
11826,0,0,10,14,2,132,0,n,cluster2
12776,1,0,14,19,2,135,2,n,cluster1
12108,0,0,9,16,2,129,0,n,cluster2
12513,0,0,14,16,2,96,0,n,cluster2
13456,0,0,7,5,1,96,2,n,cluster1
13887,0,0,11,9,1,129,2,n,cluster1
13155,0,0,9,7,1,87,1,n,cluster1
13405,0,0,7,10,1,96,0,n,cluster2
13013,1,0,10,14,1,129,0,n,cluster2
12289,0,0,13,12,2,119,0,n,cluster2
13728,0,0,10,16,2,108,0,n,cluster2
12067,0,0,14,23,2,129,0,n,cluster2
11889,0,0,9,5,1,94,0,n,cluster2
11290,0,0,20,18,1,136,0,n,cluster2
11803,0,0,5,19,1,126,0,n,cluster2
12608,1,0,9,13,2,110,0,n,cluster2
11678,0,0,16,16,2,139,0,n,cluster2
13225,0,0,5,9,1,84,1,n,cluster1
12160,0,0,16,18,2,128,0,n,cluster2
12060,0,0,12,10,2,106,0,y,cluster2
12532,2,0,10,14,2,113,0,n,cluster2
11070,0,0,6,6,1,85,0,n,cluster2
12978,1,0,17,10,1,135,2,n,cluster1
13891,0,0,10,9,1,100,0,n,cluster2
11051,0,0,7,10,2,125,0,n,cluster2
12524,1,0,10,15,2,123,0,n,cluster2
13659,0,0,11,14,2,135,1,n,cluster2
12709,3,0,13,18,2,124,2,n,cluster1
11235,1,0,17,15,2,135,0,n,cluster2
11501,0,0,5,8,1,64,0,y,cluster2
13318,0,0,5,9,1,121,1,n,cluster1
12941,1,0,11,8,1,94,0,n,cluster2
11061,0,0,4,9,1,83,0,n,cluster2
13561,0,0,22,11,2,117,1,y,cluster2
13609,0,0,9,10,1,101,0,n,cluster2
12961,0,0,10,10,2,109,0,n,cluster2
13080,0,0,9,20,1,125,1,n,cluster1
12614,1,0,16,16,2,112,1,n,cluster2
13797,0,0,11,7,1,100,0,n,cluster2
13815,0,0,8,23,2,142,0,n,cluster2
13364,0,0,7,9,1,79,1,y,cluster1
12910,0,0,13,16,2,136,1,n,cluster2
12132,0,0,8,14,2,115,0,n,cluster2
12232,0,0,14,18,2,113,0,y,cluster2
12545,2,0,18,17,2,109,0,y,cluster2
13565,0,0,8,10,1,106,0,n,cluster2
11784,0,0,15,18,2,136,0,n,cluster2
12899,0,0,13,16,2,121,0,n,cluster2
13106,0,0,10,21,1,132,2,y,cluster1
12848,0,0,15,20,2,126,2,n,cluster1
12055,2,0,12,12,1,115,0,n,cluster2
13220,0,0,8,9,1,114,1,n,cluster1
12357,0,0,14,16,2,98,0,y,cluster2
11979,1,0,10,16,2,112,0,y,cluster2
13620,0,0,11,14,2,95,0,y,cluster2
13523,0,0,10,14,2,130,0,y,cluster2
13924,0,0,5,7,1,88,0,n,cluster2
13711,0,0,12,13,2,108,0,n,cluster2
