hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
1,2,12,17,1,117,0,n
0,0,7,15,2,94,0,n
1,0,13,12,2,122,0,n
0,0,11,17,1,98,1,y
0,0,17,16,2,135,0,n
1,2,7,13,0,112,0,n
1,0,12,16,2,117,0,n
0,0,5,14,2,120,0,n
1,0,8,11,1,79,0,n
0,6,12,14,1,141,0,n
1,0,17,10,1,134,1,n
2,0,15,14,2,113,0,n
0,0,5,9,1,78,0,y
1,0,12,17,1,100,2,y
0,0,15,12,2,114,1,y
0,0,13,7,1,107,0,n
0,0,5,11,1,87,4,y
0,0,14,10,1,136,0,n
0,0,12,16,2,105,0,n
1,2,8,14,0,133,0,n
0,0,6,7,1,69,0,n
1,0,15,15,2,127,4,n
0,0,9,12,1,119,2,n
1,0,15,18,2,100,0,n
1,0,14,20,2,133,0,n
1,0,12,4,0,104,0,n
1,0,9,19,2,131,1,n
1,0,9,18,1,123,0,n
2,0,12,18,2,125,0,n
0,0,5,16,1,136,2,y
2,0,6,12,2,132,0,n
0,0,11,16,2,124,0,n
0,2,11,17,1,142,0,n
0,0,5,16,1,134,1,y
0,0,6,17,1,112,0,n
0,0,4,5,1,83,2,n
0,0,7,8,1,85,1,n
0,0,8,15,1,105,1,y
0,0,8,7,1,90,1,y
1,0,16,15,2,123,1,n
1,0,18,20,2,127,0,n
0,0,8,6,1,78,2,n
0,0,11,12,2,119,0,n
0,0,5,5,1,81,0,n
0,0,7,14,1,124,0,n
0,0,8,14,2,115,0,n
1,0,8,6,1,99,0,n
0,0,6,12,1,77,0,y
1,1,17,17,2,106,1,n
0,0,13,16,2,118,0,n
2,2,18,23,2,144,0,n
0,0,14,13,2,115,1,y
1,0,12,20,2,143,0,n
2,0,10,14,1,97,0,n
1,0,11,12,2,129,0,n
0,0,14,13,1,132,0,n
0,0,9,12,1,118,1,n
0,0,7,12,1,81,0,y
0,0,4,5,1,81,0,n
0,0,13,12,2,90,0,n
2,0,18,19,2,136,1,y
1,0,11,13,2,121,2,n
1,0,9,13,2,135,0,n
0,0,14,23,1,140,0,y
0,0,12,15,2,96,1,n
2,0,8,12,2,132,0,n
1,0,14,12,2,122,0,n
1,0,14,14,2,139,0,n
1,0,7,13,2,105,0,n
0,1,14,13,2,117,0,n
1,0,18,17,2,124,1,n
2,0,9,9,1,111,0,n
0,0,10,20,2,125,2,n
0,0,7,7,1,77,0,y
0,0,7,9,1,116,0,n
0,0,11,18,2,126,2,n
0,0,7,13,1,117,0,y
1,0,11,11,2,105,0,y
0,0,7,7,1,111,0,n
1,0,15,17,2,115,0,n
1,0,13,20,2,136,0,n
0,0,13,10,2,111,0,n
0,0,9,6,1,111,1,n
0,0,7,5,1,97,0,n
0,0,10,10,1,72,0,n
0,0,12,20,2,127,1,n
0,0,9,11,1,133,0,n
1,0,7,15,2,106,0,n
0,0,9,7,1,73,0,n
0,0,9,12,1,114,0,n
1,0,12,13,2,132,0,n
1,0,14,19,2,114,0,n
0,0,14,12,2,110,0,n
1,0,10,13,2,118,0,n
0,0,12,15,2,126,0,n
0,0,8,5,1,122,0,n
1,2,7,15,0,121,0,n
0,0,11,17,1,140,0,y
1,1,7,22,2,134,0,n
0,0,7,10,1,93,0,n
0,0,6,13,1,101,0,n
0,0,8,11,1,79,1,n
0,0,8,14,2,131,0,n
0,0,12,22,2,121,0,y
0,0,5,16,1,134,1,y
2,0,11,16,2,126,1,n
2,0,14,14,2,113,0,n
0,0,11,13,2,127,0,n
0,0,5,7,1,71,0,n
0,0,9,9,1,88,0,n
1,0,14,8,1,112,2,n
0,0,15,18,2,141,0,n
1,0,12,15,2,135,0,n
0,0,7,9,1,78,0,y
0,0,9,12,2,94,0,n
0,0,8,14,2,115,0,n
0,0,5,11,1,86,3,y
0,0,10,7,1,99,1,n
1,0,11,16,1,102,0,n
0,0,2,9,1,82,0,n
0,0,13,18,2,99,0,n
0,0,9,15,1,107,1,n
2,0,11,14,2,121,3,n
0,0,8,10,1,121,0,n
2,0,8,15,1,120,0,n
1,0,10,16,2,112,0,y
1,0,10,9,1,121,0,n
0,0,9,21,2,131,0,y
0,0,11,15,2,111,0,n
0,0,10,8,1,117,0,n
0,0,6,16,2,129,0,n
0,0,10,15,2,109,0,n
0,2,12,14,2,127,1,n
0,0,8,5,1,78,0,n
2,0,15,18,2,118,2,n
0,0,5,10,1,71,0,n
1,1,6,10,0,111,0,n
0,0,9,12,2,130,2,n
0,0,7,8,1,132,0,n
1,0,10,17,1,145,0,y
1,0,5,15,1,122,0,n
0,0,7,8,1,85,1,y
0,0,7,8,1,102,0,y
0,0,15,15,2,125,0,n
1,0,15,13,2,105,0,n
0,0,8,9,1,104,0,n
1,1,13,15,2,136,0,y
0,0,10,17,2,134,1,n
0,0,11,6,1,120,0,n
0,0,9,11,1,108,0,n
0,0,9,16,2,91,0,n
0,0,12,16,2,108,1,y
0,0,27,16,1,135,2,y
0,0,12,28,2,145,0,n
0,0,7,26,1,129,0,y
2,0,8,18,2,106,1,n
0,0,13,25,2,145,3,n
0,0,15,9,1,134,1,n
0,0,9,12,2,107,0,n
0,0,10,7,1,92,1,n
1,0,9,14,2,96,0,n
0,0,16,8,1,113,1,n
0,0,20,5,1,115,1,n
0,0,9,7,1,85,1,n
0,0,7,14,2,131,0,n
0,0,10,28,2,145,0,n
0,0,8,9,1,91,0,n
0,0,7,9,1,78,0,y
0,1,6,9,1,88,0,n
0,0,16,19,2,124,0,n
1,0,7,16,2,126,0,n
0,0,4,9,1,78,1,n
1,0,11,16,1,102,0,n
0,0,8,14,2,131,1,n
2,0,17,24,2,131,0,n
2,0,16,14,2,115,2,n
1,0,15,13,2,114,0,n
0,0,11,18,1,144,0,n
1,0,8,8,1,84,0,n
0,0,8,14,2,94,1,y
0,0,16,10,2,109,0,n
0,0,13,14,2,122,0,n
0,0,14,15,2,97,2,n
0,0,6,14,1,121,0,n
0,0,8,5,1,86,0,n
0,0,20,14,2,123,0,n
2,0,14,13,2,124,1,n
0,0,11,16,2,126,0,n
0,0,12,16,2,119,0,n
0,0,7,8,1,78,0,n
0,1,12,16,1,83,0,n
0,0,12,12,2,92,0,n
0,1,12,12,1,127,1,n
0,0,12,18,2,119,0,n
2,0,9,14,2,113,0,n
0,0,7,9,1,125,1,n
0,0,6,11,1,95,0,n
0,0,6,7,1,90,1,n
0,0,5,9,1,121,1,n
1,1,11,7,0,91,0,y
1,0,12,11,2,118,1,n
1,1,17,15,2,132,0,n
0,0,14,13,2,124,0,n
0,0,9,16,2,119,0,n
1,0,8,15,2,121,0,n
0,0,12,7,1,98,0,n
0,0,13,16,2,124,0,n
1,0,15,18,2,100,0,n
0,0,10,10,2,111,0,y
0,0,11,8,1,87,0,n
0,1,7,11,1,101,0,n
0,0,8,11,1,92,1,n
0,0,9,10,2,133,0,n
0,0,5,16,1,134,1,y
0,0,6,9,1,107,0,n
0,0,10,16,2,128,0,y
1,0,12,11,2,117,0,y
0,0,5,12,1,100,0,n
1,0,16,13,2,135,1,n
0,0,8,5,1,99,0,n
1,0,22,15,1,122,0,n
1,0,14,15,2,109,0,y
1,0,14,13,2,137,0,n
0,0,9,6,1,71,2,y
0,1,23,16,2,126,0,y
1,0,10,13,2,134,1,n
1,1,18,24,2,121,0,n
2,0,11,16,2,118,0,n
1,1,14,6,0,121,0,n
0,0,10,12,1,106,0,y
1,0,12,13,2,135,1,n
2,0,8,15,2,127,0,n
0,0,11,20,2,127,1,n
1,0,13,14,2,118,0,n
1,0,8,13,1,133,0,n
0,0,8,10,1,91,0,y
0,0,8,15,1,104,0,y
0,0,10,12,1,60,0,y
1,0,8,18,1,124,0,n
1,0,13,11,2,121,0,n
1,0,13,16,2,129,0,n
1,0,12,10,1,118,0,n
1,0,12,20,2,139,1,n
0,0,8,17,1,121,0,n
0,0,9,16,2,126,0,n
1,0,7,11,1,85,2,n
